Source Path,File Size (KB),Last Modified,Language,Category,Priority,Target Path,Status,Notes
"docs/papers/paper-01-Script-Based-Dialog-Policy-Planning.md",28,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/ai_ask_legacy_fields_cleanup.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/architecture/layer-implementation-guide.md",40,2026-03-11,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/ai_ask_output_list_feature.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/product/productbacklog.md",52,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/REFACTOR_SUMMARY_target_variable.md",4,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/MIGRATION_TO_DATABASE_ARCHITECTURE.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/TOPIC_CONFIGURATION_GUIDE.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/E2E_TESTING_GUIDE.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/temp/对比不同模型生成的质量.md",20,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/plans/2026-03-08-architecture-refactoring-design.md",12,2026-03-09,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/plans/2026-03-11-document-restructure-implementation.md",24,2026-03-11,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/plans/2026-03-06-story-2-2-two-stage-llm-refactor-implementation-plan.md",40,2026-03-06,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/plans/2026-03-10-match3-h5-game-implementation.md",16,2026-03-10,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/plans/2026-03-08-architecture-refactoring-implementation.md",16,2026-03-09,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/plans/2026-03-10-match3-h5-game-design.md",12,2026-03-10,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/plans/2026-03-11-document-restructure-design.md",12,2026-03-11,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/ai_ask_output_unification_refactor.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/project-editor-refactoring-analysis.md",24,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/visual-editor-validation-design.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/yaml-smart-indent-fixer.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/project-editor-refactoring-plan.md",64,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/STAGE3-COMPLETE-REPORT.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/editor-validation-integration-complete.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/T19-BACKEND-API-PARTIAL-SUMMARY.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/editor-validation-integration.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/ai-ask-execution-sequence.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/thinking/HeartRule设计哲学.md",36,2026-03-11,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/thinking/ai_say智能实现机制.md",104,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/thinking/Memory-Engine-分层记忆架构设计.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/thinking/Story-2.2-Topic动态展开Action队列-智能能力需求.md",28,2026-03-09,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/thinking/ai_say提示词模板示例.md",108,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/thinking/HeartRule引擎能力需求.md",68,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/thinking/设计哲学的思考过程.md",8,2026-03-11,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/thinking/HeartRule脚本调试需求.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/thinking/HeartRule咨询智能实现机制.md",24,2026-03-11,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/thinking/Heart Rule脚本定义需求.md",56,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/thinking/Action层(ai_ask)与Topic层的职能边界.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/script-executor-refactoring-plan.md",72,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/project-initialization-guide.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/T21-IMPLEMENTATION-SUMMARY.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/T22-IMPLEMENTATION-SUMMARY.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/T19-IMPLEMENTATION-SUMMARY.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/visual-editor-validation-implementation-summary.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/Story-2.2-Topic动态展开Action队列-DDD战术设计.md",36,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/T20-IMPLEMENTATION-SUMMARY.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/session-intelligence-guardian-design.md",16,2026-03-11,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/T18-TEMPLATE-SCHEME-CONFIG-SUMMARY.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/story-7.5-schema-validation-completion-report.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/T6-T8-IMPLEMENTATION-SUMMARY.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/stage3-ui-integration-plan.md",28,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/editor-validation-implementation-summary.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/T18-COMPLETE-SUMMARY.md",20,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/phase3-refactoring-completion-report.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/system-variable-format-implementation.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/SEQUENCE_DIAGRAMS.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/phase4-refactoring-completion-report.md",20,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/story-1.4-async-verification.md",20,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/YAML_FORMAT_BUTTON_DEMO.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/workspace-removal-quick-summary.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/plans/2026-03-06-topic-dynamic-action-queue-two-stage-llm-refactor-design.md",40,2026-03-09,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/T18-BACKEND-API-SUMMARY.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/VISUAL_EDITOR_VALIDATION_DEMO.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/story-0.1-schema-semantic-unification.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/script-editor/script_editor_core_plan.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/STAGE3-PROGRESS-REPORT.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/yaml-format-button-implementation.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/T19-T20-T22-IMPLEMENTATION-SUMMARY.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/T17-SESSION-PROPERTY-PANEL-SUMMARY.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/yaml-validation-usage-guide.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/visual-editor-validation-user-guide.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/yaml-format-button-guide.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/code-quality-audit-report.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/design/workspace-removal-refactor-analysis.md",24,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
